Filter information: 																		
											5	5	5	5	5	5		
Williams Trend Test																		
Data Source: MBHA_bmdexpress_input_log2_transformed																		
Work Source: null																		
BMDExpress3 Version: BMDExpress 3.20.0161 BETA																		
Timestamp (Start Time): 05/19/2026 09:09.12																		
Number of Permutations: 500																		
Unadjusted P-Value Cutoff: 0.05																		
Multiple Testing Correction: false																		
Filter Out Control Genes: true																		
NOTEL/LOTEL Test: T-Test																		
NOTEL/LOTEL p-Value Threshold: 0.05																		
NOTEL/LOTEL Fold Change Threshold: 2.0																		
Used Fold Filter with cuttoff: 1.5																		
Data marked as log transformation: true																		
Total Run Time: 19 seconds																		
																		
Chip: null																		
Provider: generic																		
																		
Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL	LOTEL
ENSGALG00010000002			0.016326531	0.038377897	2.8731382	2.8731382	1.1087139	1.969224	1.51737	1.9902966	2.8731382	0.7987173	0.03526621	0.00138488	0.04669723	0.24802378		
ENSGALG00010000003			0.003663004	0.013045573	2.7939394	2.7939394	2.3170402	1.9839854	1.7359482	1.8196846	2.7939394	0.009536309	3.62E-08	5.64E-06	4.18E-07	5.29E-05	0	0.1
ENSGALG00010000005			0.003663004	0.013045573	2.3142605	2.3142605	2.3142605	1.8358057	1.9090446	1.7111998	1.7970703	0.031702105	3.42E-05	8.90E-06	4.14E-04	0.038493026	0	0.1
ENSGALG00010000007			0.003584229	0.013045573	1.9810368	1.9810368	1.8656092	1.9810368	1.7482309	1.7942299	1.9476002	0.002263562	6.99E-04	1.12E-06	3.17E-05	0.003124811		
ENSGALG00010000011			0.003558719	0.013045573	1.5862067	1.5862067	1.4730383	1.3995347	1.5647727	1.4606861	1.5862067	4.77E-04	0.001017678	0.030395402	3.46E-04	5.91E-04		
ENSGALG00010000017			0.003558719	0.013045573	1.9821738	1.9821738	1.9293354	1.8191122	1.9821738	1.9587814	1.5244015	8.53E-06	1.02E-05	1.04E-05	2.01E-06	1.57E-04		
ENSGALG00010000020			0.003676471	0.013045573	1.6451583	1.6451583	1.4747814	1.5399625	1.6451583	1.6443255	1.2712146	6.77E-04	1.31E-06	0.021115901	0.00238668	0.016037121		
ENSGALG00010000022			0.003717472	0.013045573	1.9512335	1.9512335	1.8027773	1.9512335	1.8096976	1.6556754	1.4219542	0.029353525	0.001724763	0.010235772	0.008190038	0.028398264		
ENSGALG00010000023			0.010676157	0.027375489	1.5126141	1.5126141	1.4478773	1.3469267	1.5126141	1.4582741	1.1172235	4.71E-04	0.002430074	0.004344875	4.76E-04	0.20244215		
ENSGALG00010000024			0.013937282	0.03379585	1.5133852	1.5133852	1.2612065	1.4035082	1.2912153	1.5133852	1.1489549	0.04692868	6.89E-04	0.13464545	4.63E-05	0.13530803		
ENSGALG00010000026			0.003610108	0.013045573	1.5799791	1.5799791	1.5121932	1.4223204	1.5799791	1.506068	1.3087351	0.001743519	3.70E-04	0.04820753	0.001977025	0.012199049		
ENSGALG00010000028			0.003508772	0.013045573	1.6855352	1.6855352	1.6855352	1.6455803	1.6204001	1.572816	1.3500189	3.86E-04	1.52E-05	7.27E-04	0.001415368	7.81E-04		
ENSGALG00010000033			0.014336918	0.034695089	1.5656149	1.5656149	1.404856	1.3813672	1.5656149	1.4197841	1.1886295	0.001515323	0.002113457	0.021944858	0.021393219	0.057538904		
ENSGALG00010000043			0.010416667	0.026749245	2.5859482	2.5859482	2.5859482	2.3318634	1.6114596	1.9310154	1.4672287	0.018077254	4.19E-06	0.09638649	1.70E-04	0.039628584	0	0.1
ENSGALG00010000044			0.004132231	0.013045573	-2.589238	2.589238	-2.589238	-2.1146412	-2.2741969	-1.6287239	1.301964	0.027618928	0.016036127	0.056824856	0.18483678	0.16796713	0	0.1
